localita,area_ha,date,nearest_effis_km,matched,nearest_effis_area_ha
Roccadia,26.642,2018-06-04,,False,
Roccadia,426.7887,2018-07-23,1.63,False,413
Valle Pozzo,118.6737,,,False,
Casa Piana Dei Monaci,254.1356,2020-08-03,2.35,False,77
Favara,1.0768,2020-07-24,3.69,False,38
C.da Zenia,8.2954,2020-07-31,6.66,False,77
Casa Fata,9.9205,2020-08-09,0.93,True,10
Piana Dei Monaci,209.7456,2021-07-02,2.23,False,33
Contrada Cugni,31.6435,2021-08-10,8.23,False,39
Monte Pancali,59.692,2021-08-12,1.57,False,32
Fiumarella,4.7839,2021-09-19,11.83,False,13
Casa Scirino,287.8871,2021-06-23,4.5,False,315
Farina Martirifusi,10.8301,2021-09-19,13.54,False,13
Monte Pancali,123.0859,2022-09-15,1.32,True,121
Monte Santa Venere,10.0883,2022-11-03,,False,
Contrada Cannellazza,54.9644,2024-05-04,,False,
Tranese,1.218,2024-10-14,8.76,False,0
Pancali,19.425,2025-07-29,,False,
