fire_id,comune,fire_date,area_ha_effis,status,dnbr_area_ha_within_1km,dnbr_nearest_patch_ha,dnbr_nearest_dist_m,pre_scene,post_scene,pre_cloud_pct,post_cloud_pct,elapsed_s,overshoot_ratio,qa_flag
42361,Alia,2020-08-03 00:12:00,10.0,ok,0.45,0.45,72.0,HLS.S30.T33SUB.2020208T095029.v2.0,HLS.S30.T33SUB.2020228T095039.v2.0,0.0,0.0,22.9,0.045,plausible
222103,Resuttano,2023-10-03 11:10:00,6.0,ok,79.83,7.74,40.0,HLS.S30.T33SVB.2023222T094549.v2.0,HLS.S30.T33SVB.2023297T095051.v2.0,1.0,0.0,23.1,1.29,plausible
49555,Casteldaccia,2021-06-03 23:54:00,2.0,ok,8688.51,8638.65,0.0,HLS.S30.T33SUC.2021142T095029.v2.0,HLS.S30.T33SUC.2021212T095029.v2.0,0.0,0.0,26.1,4319.325,needs_manual_review_likely_noise
55295,Alimena,2021-09-16 11:17:00,14.0,ok,13691.07,13690.17,0.0,HLS.S30.T33SVB.2021222T095029.v2.0,HLS.S30.T33SVB.2021262T095029.v2.0,1.0,2.0,27.2,977.8692857142858,needs_manual_review_likely_noise
229766,Altavilla Milicia,2024-04-23 00:33:00,14.0,ok,189.36,0.18,313.0,HLS.S30.T33SUC.2024097T094549.v2.0,HLS.S30.T33SUC.2024172T095031.v2.0,0.0,0.0,27.6,0.012857142857142857,plausible
40441,Altofonte,2020-07-13 11:24:00,7.0,ok,484.2,166.95,7.0,HLS.S30.T33SUC.2020183T095031.v2.0,HLS.S30.T33SUC.2020241T100029.v2.0,0.0,0.0,31.0,23.849999999999998,needs_manual_review_likely_noise
211833,Altavilla Milicia,2023-01-06 00:49:00,10.0,ok,23.13,0.36,169.0,HLS.S30.T33SUC.2023002T095319.v2.0,HLS.S30.T33SUC.2023032T095129.v2.0,1.0,0.0,32.6,0.036,plausible
55366,Santa Caterina Villarmosa,2021-09-17 11:47:00,28.0,ok,14494.68,14493.78,0.0,HLS.S30.T33SVB.2021222T095029.v2.0,HLS.S30.T33SVB.2021262T095029.v2.0,1.0,2.0,35.4,517.635,needs_manual_review_likely_noise
40331,Altofonte,2020-07-12 10:24:22.301000,13.0,ok,254.97,166.95,0.0,HLS.S30.T33SUC.2020183T095031.v2.0,HLS.S30.T33SUC.2020241T100029.v2.0,0.0,0.0,22.3,12.842307692307692,needs_manual_review_likely_noise
53037,Santa Cristina Gela,2021-08-13 00:00:00,14.0,ok,2.16,1.71,0.0,HLS.S30.T33SUC.2021212T095029.v2.0,HLS.S30.T33SUC.2021242T095029.v2.0,0.0,1.0,18.1,0.12214285714285714,plausible
