fire_id,fire_date,area_ha_effis,gfw_points_within_3days_any_distance,closest_gfw_point_km,gfw_confirms_within_2km
44819,2020-10-17 10:15:00,36,0,,False
45051,2020-10-21 11:48:00,10,2,4.44,False
52155,2021-08-04 11:21:00,9778,60,2.57,False
45949,2021-02-05 10:54:00,5,1,5.21,False
46439,2021-03-01 01:12:00,4,1,6.73,False
211645,2022-11-09 12:50:00,11,1,5.23,False
206086,2022-07-12 11:10:00,22,0,,False
213653,2023-02-24 00:00:00,9,0,,False
221088,2023-09-21 12:25:00,145,2,12.05,False
224041,2023-11-07 11:51:00,5,0,,False
224247,2024-01-03 11:34:00,2,1,6.55,False
225417,2024-02-07 00:58:00,3,1,6.04,False
246129,2024-10-08 12:17:00,10,0,,False
246130,2024-10-08 12:17:00,3,0,,False
