fire_id,fire_date,day_or_night_ignition,pct_agricultural_landcover,pastureland_context_flag,shape_compactness,straight_edge_fraction,geometric_shape_flag,distance_to_road_m
44819,2020-10-17 10:15:00,day,0.0,not predominantly agricultural,0.287,0.344,False,
45051,2020-10-21 11:48:00,day,0.0,not predominantly agricultural,0.676,0.322,False,
52155,2021-08-04 11:21:00,day,47.7,near/in agricultural land,0.213,0.582,True,
45949,2021-02-05 10:54:00,day,0.0,not predominantly agricultural,0.609,0.195,False,
46439,2021-03-01 01:12:00,night,0.0,not predominantly agricultural,0.895,0.078,False,
211645,2022-11-09 12:50:00,day,0.0,not predominantly agricultural,0.31,0.273,False,
206086,2022-07-12 11:10:00,day,0.0,not predominantly agricultural,0.485,0.354,True,
213653,2023-02-24 00:00:00,night,0.0,not predominantly agricultural,0.414,0.404,True,
221088,2023-09-21 12:25:00,day,10.4,not predominantly agricultural,0.261,0.336,False,
224041,2023-11-07 11:51:00,day,0.0,not predominantly agricultural,0.351,0.242,False,
224247,2024-01-03 11:34:00,day,0.0,not predominantly agricultural,0.748,0.258,False,
225417,2024-02-07 00:58:00,night,0.0,not predominantly agricultural,0.601,0.411,True,
246129,2024-10-08 12:17:00,day,0.0,not predominantly agricultural,0.909,0.19,False,
246130,2024-10-08 12:17:00,day,0.0,not predominantly agricultural,0.556,0.448,True,
