fire_id,comune,fire_date,area_ha,day_or_night_ignition,pct_agricultural_landcover,pastureland_context_flag,shape_compactness,straight_edge_fraction,geometric_shape_flag
17754,Alia,2019-08-23 00:00:00.000,87,night,48.8,near/in agricultural land,0.216,0.553,True
15638,Castronovo di Sicilia,2019-07-24 00:00:00.000,43,night,100.0,near/in agricultural land,0.597,0.478,True
42361,Alia,2020-08-03 00:12:00.000,10,night,100.0,near/in agricultural land,0.803,0.314,False
51789,Sclafani Bagni,2021-08-01 00:00:00.000,394,night,98.2,near/in agricultural land,0.323,0.504,True
209694,Montemaggiore Belsito,2022-08-18 01:34:00.000,281,night,57.5,near/in agricultural land,0.29,0.376,True
210635,Sclafani Bagni,2022-09-16 11:21:00.000,296,day,7.7,not predominantly agricultural,0.243,0.4,True
238335,Alia,2024-08-19 11:40:00.000,45,day,30.0,not predominantly agricultural,0.336,0.392,True
16648,Alimena,2019-08-03 00:00:00.000,282,night,55.0,near/in agricultural land,0.374,0.483,True
41692,Santa Caterina Villarmosa,2020-08-01 11:18:00.000,162,day,59.6,near/in agricultural land,0.41,0.356,True
55295,Alimena,2021-09-16 11:17:00.000,14,day,0.0,not predominantly agricultural,0.73,0.435,True
55294,Alimena,2021-09-16 11:17:00.000,49,day,4.0,not predominantly agricultural,0.76,0.458,True
55366,Santa Caterina Villarmosa,2021-09-17 11:47:00.000,28,day,59.3,near/in agricultural land,0.331,0.239,False
217706,Alimena,2023-07-25 11:21:00.000,1612,day,54.0,near/in agricultural land,0.263,0.351,True
222103,Resuttano,2023-10-03 11:10:00.000,6,day,0.0,not predominantly agricultural,0.882,0.214,False
221095,Alimena,2023-09-19 12:12:00.000,41,day,4.8,not predominantly agricultural,0.596,0.31,False
221094,Santa Caterina Villarmosa,2023-09-22 11:17:00.000,142,day,70.3,near/in agricultural land,0.558,0.37,True
275961,Santa Caterina Villarmosa,2025-07-29 11:15:00.000,226,day,75.9,near/in agricultural land,0.153,0.374,True
42824,Cerda,2020-08-30 10:15:00.000,439,day,43.1,near/in agricultural land,0.612,0.426,True
217472,Aliminusa,2023-07-24 10:51:00.000,2862,day,53.6,near/in agricultural land,0.173,0.371,True
14282,Altavilla Milicia,2018-07-22 00:00:00.000,1649,night,17.1,not predominantly agricultural,0.269,0.539,True
