comune,localita,date,area_ha
GANGI,Gangi,2021-08-04,7241.7421
VICARI,Vicari,2021-08-15,1298.1595
PETRALIA SOTTANA,Petralia Sottana,2021-08-10,1123.8417
PALAZZO ADRIANO,Cozzo Miglietta,2021-07-29,1094.4776
MONREALE,"Traversa,",2021-07-29,1050.9729
POLIZZI GENEROSA,Contrada San Nicola,2021-07-30,719.0047
PIANA DEGLI ALBANESI,Rossella,2025-08-10,713.2137
CASTELLANA SICULA,TUDIA,2022-07-05,697.3607
MONREALE,Valle Presti,2022-08-15,616.2924
MISILMERI,Frattina,2022-09-04,584.8417
PALERMO,Monte Grifone,2023-07-25,560.7601
MONREALE,Kaggio,2025-07-25,544.5431
PETRALIA SOPRANA,Acquamara Ii,2023-07-25,511.7668
CARINI,Lo Zucco,2023-09-21,504.2983
MONREALE,Cerasa,2021-07-30,466.3712
CERDA,Cozzo Del Lupo,2023-07-26,414.5616
CALTAVUTURO,Caltavuturo,2023-07-25,410.659
CARINI,Monte Saraceno,2023-09-23,396.4176
PRIZZI,C. Feudotto,2023-09-20,382.2812
VICARI,Liste Della Margana,2024-07-20,367.3094
CALTAVUTURO,Contrada Colla,2021-07-13,366.1256
CORLEONE,Ponte del Casale,2023-09-14,365.1885
VILLAFRATI,Serra Capezzana,2023-09-21,356.8355
CACCAMO,Manche,2021-08-10,348.1584
CONTESSA ENTELLINA,Miccina,2022-08-07,341.4272
ROCCAPALUMBA,stazione di roccapalumba,2018-07-12,306.4504
PIANA DEGLI ALBANESI,Brigna,2021-07-31,297.7431
CONTESSA ENTELLINA,C.Vaccara,2020-08-27,288.5575
CALTAVUTURO,Contrada Balate,2023-08-23,284.8973
SANTA CRISTINA GELA,Andreotta,2020-08-03,278.2539
VICARI,C. Serre,2021-08-31,276.3253
CONTESSA ENTELLINA,Borgo Piano Cavaliere,2023-09-18,275.6239
PIANA DEGLI ALBANESI,Fucia,2021-07-30,273.4702
PIANA DEGLI ALBANESI,Maganoce,2023-07-25,272.9001
MONREALE,"Contrada Scalilli,",2022-09-03,270.1386
CALTAVUTURO,Caltavuturo,2022-08-16,261.7166
PALAZZO ADRIANO,C. Mezzo Canale,2025-07-27,260.7377
MONREALE,Marzuso,2023-09-22,238.5756
CONTESSA ENTELLINA,Carrubba,2023-10-14,238.2303
COLLESANO,Contrada Bovitello,2021-08-01,237.6865
SAN CIPIRELLO,San Cipirello,2025-07-21,233.7215
CASTRONOVO DI SICILIA,Bocche Di S. Andrea,2018-07-23,230.9835
PALERMO,Manche di Bellolampo,2020-05-13,227.6993
MONREALE,monteaperto,2025-08-03,221.5494
MONREALE,Strasatto,2024-09-08,207.2413
CARINI,Lo Zucco,2021-08-04,206.4237
GODRANO,Piano Guddemi,2022-09-25,202.8664
MISILMERI,Valle Cucchi,2022-07-23,198.3798
COLLESANO,Sulla,2021-08-01,193.8401
SAN MAURO CASTELVERDE,Contrada Ciambra,2021-08-07,193.5477
CAMPOREALE,Monte Pietroso,,190.5632
PIANA DEGLI ALBANESI,Ducco,2022-09-01,188.3155
LERCARA FRIDDI,Lercara Bassa,2025-07-31,186.4829
SANTA CRISTINA GELA,Buceci,2025-08-27,183.6346
MONREALE,Kaggio,2021-07-29,182.9213
MISILMERI,Mennula,2023-08-27,181.5154
VALLEDOLMO,Valledolmo,2023-09-22,180.9769
PETRALIA SOTTANA,Localita' Recattivo,2018-07-30,179.9508
PALAZZO ADRIANO,C. Mezzo Canale,2024-09-02,178.4557
CORLEONE,Monte Cardellia,2022-09-20,176.8586
MEZZOJUSO,bvio mezzojuso Mezzojuso (PA),2022-06-27,176.0113
MONREALE,Masseria Kaggio,2022-06-28,171.9844
SCLAFANI BAGNI,Passo Del Bambino,2022-09-16,168.7254
PIANA DEGLI ALBANESI,LA PIZZUTA,2023-07-24,168.6805
ALIMENA,Alimena,,166.5605
MONREALE,valle corta,2023-09-23,164.8826
SANTA CRISTINA GELA,Massariotta,2021-08-07,157.0576
MONTEMAGGIORE BELSITO,San Giovanni,2022-08-18,156.9559
TORRETTA,Puntali San Nicolo',2022-08-18,156.911
MONREALE,Delle Scale San Martino,2023-07-24,156.4424
CARINI,Pizzo Cirina,2022-08-16,152.5148
VALLEDOLMO,Contrada Mandranuova,2021-09-19,151.9542
PETRALIA SOTTANA,Landro,2025-08-28,151.0802
BOLOGNETTA,Torretta,2020-08-30,149.7003
CACCAMO,Manche di Caccamo,2021-07-30,149.167
PALAZZO ADRIANO,ZOTTA GRANDE CARDI,2018-04-14,148.0707
TERMINI IMERESE,Monte San Calogero Varcoco,2022-09-15,148.0357
BOMPIETRO,Contrada Gallinone,,147.5466
CORLEONE,Contrada Giardinello,,146.9902
VALLEDOLMO,Celso/Crete Valledolmo (PA),2021-09-18,143.3505
MISILMERI,Mennula,2018-07-22,139.7496
PIANA DEGLI ALBANESI,Ducco,2025-09-09,137.2804
TRAPPETO,Trappeto,2023-09-22,135.7899
CARINI,Località Canalotto Carini (PA),,134.901
SANTA CRISTINA GELA,Pizzo Parrino,,132.4168
PARTINICO,Vallone Sant'Anna,2025-07-25,131.2393
ROCCAPALUMBA,Regalgioffoli,2021-08-08,122.3089
CASTRONOVO DI SICILIA,Castronovo,2022-06-26,120.7366
PALAZZO ADRIANO,Monaci,2025-07-28,120.6052
GIARDINELLO,Monte Gibilmesi,2021-08-10,120.6013
PIANA DEGLI ALBANESI,S. Agata,2023-10-12,119.4241
POLIZZI GENEROSA,Rovine S. Calogero,2021-08-11,116.1873
CORLEONE,Masseria Cappuccio,2024-07-01,115.619
MONREALE,"Valle Corta, Monreale (PA)",2018-10-28,114.1264
CONTESSA ENTELLINA,muricchio,2023-08-27,111.6849
MONREALE,Costa S'Anna,2020-02-26,108.6124
POLIZZI GENEROSA,Contrada Catuso,2022-06-27,108.3209
PIANA DEGLI ALBANESI,Ducco,,108.0906
CAMPOREALE,Monte Pietroso,2023-09-18,106.951
SCIARA,Mura Pregne,2022-09-25,106.3503
ALTOFONTE,I Serri Di Rebuttone,2025-07-24,105.9459
CACCAMO,Manche,2021-08-08,105.0942
BOLOGNETTA,Pizzo Del Cicera,,104.6879
CARINI,La Guardiola,2020-09-25,102.7851
CAMPOFIORITO,Parrina,2021-08-04,101.5667
MONREALE,Kaggio,2024-07-10,101.3291
PALERMO,Baglio Chiaranda,,101.2598
CAMPOFELICE DI FITALIA,Campofelice di fitalia,2021-08-14,100.9635
CASTELLANA SICULA,Contrada Avanella,2025-09-09,100.4412
CASTELLANA SICULA,"Calanchi,",2023-10-20,99.0035
MONREALE,Casa Sparacia,2022-08-03,98.4174
MONREALE,Contrada Fellamonica,2025-07-25,97.7168
ROCCAPALUMBA,Regalgioffoli,2021-08-09,95.5872
SANTA CRISTINA GELA,Zotta del Pomo,2023-09-21,93.2432
PETRALIA SOPRANA,Fasano,2023-10-14,92.792
VICARI,Vicari,2022-07-12,92.5643
PALERMO,Ciaculli,2018-07-17,92.2867
MONREALE,Contrada Tagliavia,2021-07-29,91.4831
BELMONTE MEZZAGNO,liste casale,2021-06-20,91.3991
MISILMERI,Mennula,2021-08-17,90.5862
SANTA CRISTINA GELA,Ponte Arcera,,90.1252
SAN GIUSEPPE JATO,Scala Di Ferro,2023-08-27,87.9089
ROCCAPALUMBA,Cozzo San Filippo,2020-07-17,86.9665
CASTRONOVO DI SICILIA,MARCATOBIANCO,2022-09-03,86.4435
CALTAVUTURO,Contrada Balate,2023-11-03,86.1589
TERMINI IMERESE,Monte S. Calogero,2024-10-08,85.3764
MONREALE,Piano Tavernelli,2022-05-06,83.6693
CARINI,La Guardiola,2022-09-08,83.4893
PETRALIA SOTTANA,Petralia Sottana,2020-08-14,83.0791
BELMONTE MEZZAGNO,Casale,2023-08-27,81.6025
MONTEMAGGIORE BELSITO,"Granza, Montemaggiore Belsito (PA)",2023-09-20,81.3548
MONREALE,Caputo,,80.5633
MONREALE,Valle Lupa,2021-02-28,80.4685
CACCAMO,Complesso Boscato Monte Cane,2023-10-26,78.7791
MISILMERI,Montagna Grande,2021-07-30,78.7663
ALIA,P.so del Bambino,,78.7543
CHIUSA SCLAFANI,Contrada Cartuccio,2025-06-27,77.0415
SCIARA,"Monte S. Calogero, Sciara (PA)",,76.549
SANTA CRISTINA GELA,Bosco Migliore,2023-08-28,76.4289
CONTESSA ENTELLINA,C.Gurgo,2023-07-22,76.0774
MONREALE,Cerasa,2023-07-23,75.6171
ALTAVILLA MILICIA,"Cozzo Fastughera,",2020-05-13,75.5645
SCLAFANI BAGNI,Casa Coscacino,2022-09-17,74.9645
SAN GIUSEPPE JATO,Scala Di Ferro,2020-08-29,73.6768
VICARI,Strasatto,2025-08-25,73.1019
GANGI,Contrada Capuano,2021-07-11,72.6015
SANTA CRISTINA GELA,Pianetto,2022-09-09,72.3498
PIANA DEGLI ALBANESI,Centrale Guadalami,,72.2224
ALIA,Fontanelle,2021-06-28,69.8741
GANGI,Contrada Zappaiello,2025-08-13,69.2793
PIANA DEGLI ALBANESI,Maganoce,2022-08-07,68.2045
MISILMERI,Costa Scalia,2021-06-27,67.9001
MISILMERI,Valle Cucchi,2020-08-23,66.1084
PRIZZI,Prizzi,2020-07-25,65.7217
MISILMERI,Raffi,2025-08-10,65.5943
MARINEO,Stretto di Marineo,2024-08-17,65.4727
ALIA,Contrada Gulfa,2022-06-26,64.141
MONREALE,Signora,2023-09-04,64.0282
VILLAFRATI,Cozzo Mulinazzo,2022-07-27,63.9088
VICARI,C. Serre,2018-07-21,63.3333
TERMINI IMERESE,Termini Imerese,2023-10-20,63.3047
PALAZZO ADRIANO,Contrada La Petrosa,2020-07-25,62.7127
MONREALE,Monte Della Fiera,2018-09-17,61.9766
CONTESSA ENTELLINA,Carrubba,2021-08-14,59.9179
MONREALE,"C.DA  Casale,",2023-10-05,59.2758
CONTESSA ENTELLINA,Miccina,2022-08-21,59.168
SANTA CRISTINA GELA,Turdiepi,2018-07-20,57.1855
CAMPOFELICE DI FITALIA,Campofelice Di Fitalia,2022-08-01,56.9077
PARTINICO,Margi Sottano,2025-07-20,56.7946
PETRALIA SOTTANA,Serre di Forche,,56.7001
