id,FIREDATE,COMMUNE,AREA_HA
51789,2021-08-01 00:00:00,Sclafani Bagni,394.0
217706,2023-07-25 11:21:00,Alimena,1612.0
42824,2020-08-30 10:15:00,Cerda,439.0
217472,2023-07-24 10:51:00,Aliminusa,2862.0
14282,2018-07-22 00:00:00,Altavilla Milicia,1649.0
42822,2020-08-29 20:35:00,Altofonte,837.0
51394,2021-07-29 11:34:00,Piana degli Albanesi,2120.0
217659,2023-07-25 00:03:00,Altofonte,311.0
217929,2023-07-27 01:54:00,Palermo,1663.0
210143,2022-09-04 10:56:00,Misilmeri,937.0
221078,2023-09-21 20:51:00,Misilmeri,603.0
50515,2021-07-12 11:51:00,Caltabellotta,746.0
42860,2020-08-20 09:40:00,Bolognetta,321.0
209438,2022-08-18 10:17:00,Bolognetta,815.0
221489,2023-09-22 11:17:00,Borgetto,783.0
217667,2023-07-25 00:03:00,Borgetto,820.0
51500,2021-07-24 09:25:00,Caccamo,459.0
232781,2024-07-01 11:57:00,Sclafani Bagni,459.0
234948,2024-07-20 12:44:00,Vicari,372.0
217665,2023-07-24 20:00:00,Palermo,1699.0
209255,2022-08-17 00:11:00,Carini,332.0
221462,2023-09-22 12:06:00,Monreale,430.0
217664,2023-07-24 01:09:00,Monreale,2029.0
221068,2023-09-21 13:04:00,Carini,474.0
217475,2023-07-24 11:42:00,Cinisi,605.0
42867,2020-08-28 10:30:00,Castellana Sicula,366.0
53116,2021-08-15 12:05:00,Lercara Friddi,682.0
221084,2023-09-21 20:51:00,Gratteri,2823.0
217551,2023-07-25 00:03:00,Gratteri,1450.0
217668,2023-07-25 11:21:00,Cerda,487.0
52120,2021-07-30 11:17:00,Scillato,2604.0
52119,2021-08-01 10:10:00,Collesano,484.0
221081,2023-09-21 20:51:00,Contessa Entellina,410.0
220466,2023-08-27 11:53:00,Monreale,393.0
210877,2022-09-25 09:39:00,Corleone,315.0
52155,2021-08-04 11:21:00,San Mauro Castelverde,9778.0
52171,2021-08-10 20:10:00,Geraci Siculo,1950.0
51299,2021-07-29 09:40:00,Piana degli Albanesi,2867.0
221500,2023-09-22 19:55:00,Santa Cristina Gela,326.0
208382,2022-08-04 00:56:00,Piana degli Albanesi,407.0
209349,2022-08-18 11:15:00,Monreale,694.0
217653,2023-07-24 12:32:00,Monreale,425.0
275731,2025-07-26 00:28:00,Piana degli Albanesi,517.0
42176,2020-08-16 10:05:00,Montemaggiore Belsito,315.0
51499,2021-07-26 11:40:00,Sclafani Bagni,345.0
51305,2021-07-29 11:25:00,Prizzi,1054.0
221082,2023-09-21 09:49:00,Prizzi,484.0
25710,2020-05-14 00:00:00,Palermo,356.0
221464,2023-09-22 11:17:00,Torretta,325.0
217666,2023-07-25 00:03:00,Palermo,655.0
210625,2022-09-16 00:50:00,Petralia Sottana,438.0
204988,2022-07-06 00:01:00,Polizzi Generosa,876.0
