date,area_ha_effis,gfw_viirs_cross_check,area_ha_firehr,area_ha_prithvi,effis_commune_field,n_parcels_touched,foglio_particella_list,in_feniceverde_sif_catasto,day_or_night_ignition,pastureland_context_flag,geometric_shape_flag,pct_natura2000
2020-10-17 10:15:00,36,no VIIRS hotspot within 3 days,"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,26,16/86; 27/1; 27/19; 27/2; 27/20; 27/21; 27/22; 27/3; 27/31; 27/39; 27/4; 16/54; 16/10; 16/100; 16/101; 16/20; 16/22; 16/25; 16/36; 16/37; 16/38; 16/55; 16/9,False,day,not predominantly agricultural,False,100
2020-10-21 11:48:00,10,nearest VIIRS hotspot 4.44km away (not a tight match),"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,9,9/22; 9/12; 9/3; 9/6; 9/19; 9/4,False,day,not predominantly agricultural,False,0
2021-02-05 10:54:00,5,nearest VIIRS hotspot 5.21km away (not a tight match),"n/a (needs GEE auth, not yet set up)",not run for this fire,Tusa,5,40/153; 40/263; 40/264; 40/265; 40/78,False,day,not predominantly agricultural,False,100.00000000000004
2021-03-01 01:12:00,4,nearest VIIRS hotspot 6.73km away (not a tight match),"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,2,8/12; 8/20,False,night,not predominantly agricultural,False,100
2021-08-04 11:21:00,9778,nearest VIIRS hotspot 2.57km away (not a tight match),"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,88,17/10; 17/9; 16/10; 16/8; 16/13; 17/161; 17/164; 16/2; 17/3; 17/4; 16/56; 16/57; 17/7; 17/8; 16/96; 17/160; 17/162; 17/163; 17/21; 17/26; 17/31; 18/36; 18/37; 18/38; 18/4; 17/1; 9/15; 9/16; 9/22; 9/23; 18/1; 18/10; 18/11; 9/12; 18/13; 9/18; 17/18; 18/2; 17/2; 9/20; 17/20; 9/3; 9/6; 18/9; 9/1; 9/19; 9/2; 9/4; 3/72; 3/26,False,day,near/in agricultural land,True,1.427341438591938
2022-07-12 11:10:00,22,no VIIRS hotspot within 3 days,"n/a (needs GEE auth, not yet set up)",not run for this fire,Tusa,27,40/79; 40/273; 40/277; 40/279; 40/153; 40/263; 40/264; 40/265; 40/278; 40/3; 40/46; 40/47; 40/48; 40/64; 40/65; 40/66; 40/67; 40/68; 40/78; 40/83; 40/149; 40/150; 40/271; 40/272; 40/275; 40/276; 40/284,False,day,not predominantly agricultural,True,100.00000000000007
2022-11-09 12:50:00,11,nearest VIIRS hotspot 5.23km away (not a tight match),"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,77,49/155; 49/172; 49/174; 49/275; 49/276; 49/280; 49/281; 49/283; 49/378; 49/380; 49/403; 49/406; 49/472; 49/473; 49/474; 49/475; 48/49; 49/503; 49/504; 49/505; 40/12; 40/122; 49/150; 49/151; 49/152; 40/17; 49/170; 49/178; 49/180; 49/181; 49/183; 49/212; 39/216; 39/231; 39/232; 39/262; 39/263; 39/283; 39/284; 40/292; 40/293; 40/294; 40/295; 40/296; 39/345; 39/346; 39/348; 39/350; 39/351; 39/353; 39/354; 39/355; 49/374; 49/388; 49/389; 49/390; 39/471; 39/472; 39/475; 49/502; 49/506; 49/507; 49/512; 49/513; 40/9; 40/10; 49/375; 49/480; 49/482; 49/483,False,day,not predominantly agricultural,False,100
2023-02-24 00:00:00,9,no VIIRS hotspot within 3 days,"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,6,18/4,False,night,not predominantly agricultural,True,4.033322827423292
"2023-09-15 (known fire, not EFFIS-detected)",not detected (below EFFIS's mapping floor - see validation note),no VIIRS hotspot within 3 days,"n/a (needs GEE auth, not yet set up)",36.0,n/a,,not computed (no EFFIS/GFW polygon to join against parcels),n/a (SIF catasto is 2024-only; known instead from Fenice Verde's blog post),n/a,n/a,n/a,n/a (fire is inside ZSC Boschi di S. Mauro Castelverde per Fenice Verde's blog)
2023-09-21 12:25:00,145,nearest VIIRS hotspot 12.05km away (not a tight match),"n/a (needs GEE auth, not yet set up)",101.6,Tusa,85,58/100; 58/101; 58/102; 58/104; 58/105; 58/123; 58/124; 58/125; 59/130; 59/131; 58/131; 58/138; 58/139; 58/141; 58/142; 58/158; 58/170; 58/175; 58/186; 58/187; 58/188; 58/189; 58/197; 58/198; 58/202; 59/204; 58/208; 58/220; 58/221; 58/222; 58/223; 58/224; 59/28; 58/280; 58/281; 58/286; 58/287; 59/29; 58/317; 58/318; 58/319; 58/320; 59/35; 59/353; 58/512; 58/513; 58/527; 58/576; 58/577; 58/578; 58/579; 58/580; 58/581; 58/582; 58/586; 58/587; 58/588; 58/589; 58/590; 58/591; 59/88; 59/89; 59/90; 59/91; 59/94; 59/98; 59/99; 58/99,False,day,not predominantly agricultural,False,93.50073434056299
2023-11-07 11:51:00,5,no VIIRS hotspot within 3 days,"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,0,,False,day,not predominantly agricultural,False,0
2024-01-03 11:34:00,2,nearest VIIRS hotspot 6.55km away (not a tight match),"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,3,8/20; 8/102; 8/49,False,day,not predominantly agricultural,False,95.65234686627343
2024-02-07 00:58:00,3,nearest VIIRS hotspot 6.04km away (not a tight match),"n/a (needs GEE auth, not yet set up)",not run for this fire,San Mauro Castelverde,4,8/94; 8/95; 8/98; 8/99,False,night,not predominantly agricultural,True,100
