comune,n_fires_2018_2025,total_area_ha,n_large_complexes_not_parcel_matched,n_candidate_parcels_suggested,n_geometric_shape_flagged,n_night_ignitions
San Mauro Castelverde,11,9871.0,1,220,4,3
Monreale,77,7851.0,5,11074,41,28
Piana degli Albanesi,8,6656.0,4,941,4,4
Palermo,19,4985.0,4,2421,15,13
Gratteri,2,4273.0,2,0,1,2
Misilmeri,28,3345.0,2,8053,20,9
Aliminusa,1,2862.0,1,0,1,0
Scillato,3,2651.0,1,120,2,1
Altofonte,35,2408.0,2,4569,18,14
Borgetto,17,2338.0,2,3980,10,10
Alimena,5,1998.0,1,961,4,1
Geraci Siculo,4,1960.0,1,17,2,2
Prizzi,7,1762.0,2,191,3,2
Altavilla Milicia,3,1673.0,1,0,2,3
Sclafani Bagni,9,1623.0,3,449,5,4
Belmonte Mezzagno,57,1618.0,0,6107,23,26
Santa Cristina Gela,22,1564.0,1,5915,6,10
Carini,9,1533.0,2,4492,9,7
Petralia Sottana,13,1444.0,1,1955,10,4
Contessa Entellina,7,1261.0,1,647,5,5
Polizzi Generosa,11,1237.0,1,545,4,3
Bolognetta,4,1189.0,2,429,2,1
Caccamo,15,1078.0,1,1848,7,5
Castellana Sicula,9,939.0,1,1486,7,3
Cerda,2,926.0,2,0,2,0
Montemaggiore Belsito,5,912.0,1,2421,2,3
Corleone,5,800.0,1,1339,3,2
Partinico,13,694.0,0,2442,6,3
Lercara Friddi,1,682.0,1,0,1,0
Castronovo di Sicilia,7,673.0,0,1261,6,6
Termini Imerese,17,664.0,0,2084,8,9
Palazzo Adriano,13,639.0,0,738,4,12
Chiusa Sclafani,11,635.0,0,1056,3,7
Cinisi,1,605.0,1,0,1,0
Collesano,8,574.0,1,360,1,3
Vicari,3,476.0,1,85,2,1
Sciara,9,435.0,0,949,7,5
Villafrati,3,405.0,0,1798,0,1
Torretta,3,380.0,1,1024,3,0
Ciminna,5,245.0,0,337,2,2
Roccapalumba,1,207.0,0,896,1,0
Giuliana,1,200.0,0,1827,1,0
San Giuseppe Jato,2,199.0,0,431,2,2
Mezzojuso,2,189.0,0,573,1,1
Marineo,4,158.0,0,167,1,4
Roccamena,2,155.0,0,170,1,1
Campofiorito,2,147.0,0,870,0,1
Alia,3,142.0,0,338,2,2
Gangi,3,127.0,0,109,2,2
Blufi,2,112.0,0,301,1,1
Caltavuturo,7,108.0,0,505,4,4
Trabia,3,96.0,0,557,1,2
Montelepre,3,90.0,0,33,3,2
Camporeale,1,83.0,0,178,1,0
Isnello,5,77.0,0,9,1,5
Ventimiglia di Sicilia,1,73.0,0,11,1,1
Bagheria,4,70.0,0,570,3,4
San Cipirello,1,63.0,0,57,1,1
Giardinello,5,42.0,0,133,3,3
Castelbuono,2,37.0,0,8,1,1
Capaci,2,15.0,0,223,1,0
Terrasini,1,6.0,0,24,0,0
Trappeto,1,5.0,0,3,0,1
Casteldaccia,1,2.0,0,5,1,1
Bisacquino,0,0.0,0,0,0,0
Balestrate,0,0.0,0,0,0,0
Villabate,0,0.0,0,0,0,0
Baucina,0,0.0,0,0,0,0
Valledolmo,0,0.0,0,0,0,0
Ustica,0,0.0,0,0,0,0
Isola delle Femmine,0,0.0,0,0,0,0
Godrano,0,0.0,0,0,0,0
Bompietro,0,0.0,0,0,0,0
Ficarazzi,0,0.0,0,0,0,0
Campofelice di Fitalia,0,0.0,0,0,0,0
Lascari,0,0.0,0,0,0,0
Campofelice di Roccella,0,0.0,0,0,0,0
Petralia Soprana,0,0.0,0,0,0,0
CefalÃ  Diana,0,0.0,0,0,0,0
Pollina,0,0.0,0,0,0,0
CefalÃ¹,0,0.0,0,0,0,0
Santa Flavia,0,0.0,0,0,0,0
